iter	Logloss
0	0.6093099463
1	0.5461322434
2	0.4922088514
3	0.4499967073
4	0.4153854849
5	0.3873782474
6	0.3646811665
7	0.3457445714
8	0.3313230667
9	0.3201329801
10	0.3102470199
11	0.3020331674
12	0.2947207493
13	0.2882835759
14	0.2830989812
15	0.2785336362
16	0.2752115878
17	0.2720443867
18	0.2692390148
19	0.2670686419
20	0.2647589566
21	0.2633305229
22	0.2617018564
23	0.2604034297
24	0.2594331659
25	0.258343963
26	0.2576737701
27	0.2567207066
28	0.2559727675
29	0.2554339266
30	0.2549187445
31	0.2541609917
32	0.2536281486
33	0.2531777192
34	0.2526248351
35	0.2521950634
36	0.2518618496
37	0.2515223828
38	0.2512288498
39	0.2509939463
40	0.2507582325
41	0.2505590695
42	0.250259067
43	0.2500515043
44	0.2498211318
45	0.2495812606
46	0.2493963106
47	0.249196209
48	0.2490161777
49	0.2488706261
50	0.2486805632
51	0.2485326759
52	0.2483680195
53	0.2481955466
54	0.2480308948
55	0.2478937536
56	0.2477346378
57	0.2476279042
58	0.2475013485
59	0.2473669595
60	0.2472277589
61	0.2471354621
62	0.2470071105
63	0.246876395
64	0.2467810228
65	0.2466683838
66	0.2465469571
67	0.2464334058
68	0.2463419251
69	0.2462102282
70	0.2460912215
71	0.2460159926
72	0.2459671471
73	0.2458868115
74	0.245804131
75	0.2457190501
76	0.2456191237
77	0.2455408586
78	0.2454578934
79	0.2453572649
80	0.2452650625
81	0.2451953167
82	0.245117588
83	0.2450432875
84	0.2449763127
85	0.2448646973
86	0.2447854074
87	0.2447177757
88	0.2446472752
89	0.2445936348
90	0.2445143612
91	0.244445947
92	0.2443633785
93	0.2443154633
94	0.2442767306
95	0.2441700123
96	0.2440977683
97	0.244024332
98	0.2439324239
99	0.2438543996
100	0.2437456207
101	0.2436949072
102	0.2436342793
103	0.2435749812
104	0.243524629
105	0.2434751265
106	0.2434263538
107	0.2433604788
108	0.2432955259
109	0.2432364335
110	0.2431468563
111	0.2430815864
112	0.2430143073
113	0.2429544416
114	0.2428636532
115	0.2428174028
116	0.2427451236
117	0.2426999854
118	0.2426280751
119	0.2425692259
120	0.2424922741
121	0.2424088516
122	0.2423164736
123	0.2422267584
124	0.2421661878
125	0.2420915952
126	0.2420090241
127	0.241962768
128	0.2418840492
129	0.2418056531
130	0.2417511735
131	0.2416801683
132	0.2416357664
133	0.2415758254
134	0.2415153351
135	0.2414617485
136	0.2413987023
137	0.2413429597
138	0.2412813469
139	0.241212058
140	0.2411536455
141	0.2410774771
142	0.241005412
143	0.2409719483
144	0.2409050244
145	0.2408342088
146	0.240782649
147	0.2407248064
148	0.2406593076
149	0.2405954554
150	0.2405612797
151	0.2404804757
152	0.2404297536
153	0.2404010866
154	0.240338471
155	0.2402721267
156	0.2401975033
157	0.2401171768
158	0.2400533265
159	0.2400108884
160	0.2399722396
161	0.2398912312
162	0.2398274655
163	0.2397960736
164	0.239697404
165	0.2396419025
166	0.2395629448
167	0.2395238638
168	0.2394681782
169	0.2393847722
170	0.2393166494
171	0.2392465396
172	0.23919545
173	0.2391394602
174	0.2390791587
175	0.2389920986
176	0.2389415298
177	0.238897305
178	0.2388582062
179	0.2387953106
180	0.2387617348
181	0.2387046775
182	0.2386380754
183	0.2385707472
184	0.2385115402
185	0.2384708725
186	0.2384100373
187	0.2383323208
188	0.238277185
189	0.2381929023
190	0.2381220397
191	0.2380976432
192	0.238041179
193	0.2379638263
194	0.2379118979
195	0.237839223
196	0.2377647132
197	0.2377078974
198	0.2376442991
199	0.2375650166
200	0.2375060162
201	0.2374579924
202	0.2374150581
203	0.2373350658
204	0.237260293
205	0.2371923568
206	0.2371355745
207	0.2370786725
208	0.23698446
209	0.2369203049
210	0.2368458597
211	0.2367807706
212	0.2367236404
213	0.2366722249
214	0.236583011
215	0.2365355773
216	0.2364885378
217	0.2364169675
218	0.2363605683
219	0.2362854301
220	0.2362100962
221	0.2361790473
222	0.2361454969
223	0.2361354541
224	0.2360525723
225	0.2359803765
226	0.2359398964
227	0.2358987103
228	0.2358282057
229	0.2357803161
