iter	Passed	Remaining
0	163	163643
1	182	90939
2	200	66472
3	220	54947
4	242	48234
5	281	46598
6	299	42553
7	318	39473
8	339	37357
9	356	35300
10	374	33651
11	391	32256
12	407	30950
13	427	30107
14	479	31489
15	506	31137
16	527	30529
17	545	29772
18	564	29169
19	583	28591
20	602	28086
21	626	27850
22	648	27543
23	668	27177
24	688	26863
25	708	26533
26	726	26189
27	750	26060
28	770	25804
29	788	25501
30	805	25182
31	823	24910
32	840	24619
33	866	24631
34	887	24481
35	908	24321
36	927	24146
37	946	23965
38	972	23963
39	1018	24449
40	1039	24319
41	1061	24212
42	1086	24174
43	1104	24006
44	1123	23836
45	1143	23709
46	1163	23601
47	1183	23475
48	1201	23321
49	1220	23186
50	1239	23070
51	1259	22959
52	1278	22847
53	1299	22762
54	1317	22629
55	1336	22530
56	1353	22399
57	1372	22293
58	1395	22255
59	1417	22200
60	1439	22152
61	1459	22074
62	1479	22001
63	1501	21964
64	1523	21917
65	1548	21912
66	1571	21881
67	1590	21803
68	1611	21741
69	1642	21820
70	1662	21748
71	1682	21691
72	1702	21622
73	1721	21547
74	1740	21470
75	1757	21369
76	1774	21266
77	1792	21185
78	1809	21100
79	1828	21029
80	1846	20954
81	1865	20878
82	1887	20858
83	1905	20775
84	1968	21193
85	1993	21191
86	2021	21214
87	2045	21194
88	2065	21141
89	2083	21070
90	2119	21169
91	2142	21143
92	2170	21170
93	2191	21125
94	2214	21099
95	2240	21097
96	2263	21070
97	2285	21033
98	2308	21008
99	2326	20935
100	2345	20878
101	2372	20889
102	2394	20853
103	2414	20804
104	2434	20747
105	2463	20778
106	2494	20819
107	2511	20739
108	2531	20691
109	2552	20648
110	2571	20596
111	2606	20663
112	2626	20616
113	2643	20541
114	2661	20481
115	2679	20419
116	2696	20352
117	2729	20405
118	2749	20357
119	2768	20301
120	2786	20242
121	2806	20199
122	2832	20195
123	2855	20175
124	2877	20145
125	2900	20118
126	2919	20070
127	2938	20020
128	2958	19976
129	2978	19932
130	3014	19998
131	3033	19950
132	3053	19903
133	3073	19862
134	3092	19815
135	3112	19770
136	3136	19756
137	3157	19720
138	3176	19673
139	3194	19624
140	3215	19588
141	3234	19540
142	3253	19496
143	3273	19460
144	3294	19423
145	3313	19381
146	3333	19344
147	3354	19308
148	3375	19276
149	3395	19240
150	3416	19209
151	3441	19200
152	3463	19173
153	3485	19145
154	3508	19129
155	3535	19130
156	3557	19099
157	3579	19075
158	3603	19058
159	3622	19017
160	3641	18974
161	3662	18944
162	3684	18920
163	3702	18875
164	3722	18837
165	3744	18812
166	3766	18786
167	3785	18746
168	3803	18703
169	3824	18670
170	3846	18647
171	3868	18621
172	3889	18594
173	3919	18606
174	3941	18579
175	3962	18552
176	4013	18661
177	4046	18685
178	4071	18672
179	4095	18659
180	4117	18629
181	4138	18601
182	4161	18578
183	4184	18558
184	4211	18555
185	4237	18545
186	4273	18581
187	4299	18568
188	4323	18552
189	4354	18561
190	4383	18567
191	4410	18561
192	4438	18560
193	4463	18545
194	4489	18535
195	4518	18534
196	4543	18520
197	4571	18517
198	4598	18510
199	4626	18505
200	4659	18521
201	4687	18517
202	4716	18517
203	4748	18526
204	4768	18492
205	4790	18463
206	4814	18445
207	4836	18415
208	4863	18408
209	4890	18396
210	4911	18366
211	4932	18333
212	4956	18314
213	4986	18316
214	5011	18296
215	5036	18279
216	5057	18249
217	5080	18224
218	5101	18193
219	5126	18177
220	5154	18168
221	5176	18141
222	5202	18128
223	5225	18104
224	5248	18079
225	5271	18054
226	5295	18031
227	5318	18006
228	5345	17997
229	5367	17969
230	5388	17939
231	5410	17912
232	5437	17900
233	5461	17878
234	5483	17851
